"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
926662,1939,2,2000,6,109,-2,3,105,-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926663,1939,1,2001,3,33,2,5,132,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926665,1939,1,-2,4,45,-2,-2,170,0,NA,6,0,2,4,10,-2,1,5,-2,1,20
926666,1939,1,-2,3,7,-2,-2,70,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926668,1939,1,2016,5,77,-2,3,150,0,2,11,0,3,5,11,-2,-29,NA,NA,NA,NA
926669,1939,2,-2,6,52,-2,-2,7,0,1,6,0,2,10,7,-2,5,6,-2,2,3
926677,1939,2,-2,3,-3,-2,-2,54,5,2,8,4,3,NA,NA,NA,NA,NA,NA,NA,NA
926680,1939,2,-2,4,46,3,4,115,0,1,12,2,3,0,10,-2,8,11,-2,0,8
926683,1939,1,-2,2,-3,-2,-2,157,0,1,6,0,2,3,6,-2,3,6,-2,1,0
926685,1938,2,2020,5,-3,-2,-2,50,-2,0,-2,-2,10,3,-2,-2,-29,NA,NA,NA,NA
926686,1939,2,-2,3,-3,2,4,0,0,4,6,0,12,4,5,4,3,5,-2,1,0
926703,1939,2,-2,2,6,-2,-2,20,0,2,9,0,20,3,6,-2,10,6,-2,1,8
926704,1939,1,1988,9,64,-2,-2,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926705,1939,2,-2,9,81,-2,-2,38,7,2,NA,NA,0,6,7,-2,0,0,4,1,0
926707,1938,1,2019,3,30,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926708,1939,1,2019,9,72,-2,-2,90,-2,4,-2,-2,4,2,-2,-2,4,NA,NA,NA,NA
926719,1939,2,-2,7,97,-2,1,0,0,2,5,4,10,4,9,3,6,4,-2,1,1
926722,1939,2,-2,6,35,-2,-2,60,0,4,4,0,3,1,4,-2,8,2,-2,1,15
926726,1939,2,-2,2,103,-2,-2,21,0,4,3,-5,0,NA,NA,NA,NA,5,-2,2,0
926728,1939,2,-2,2,18,-2,-2,0,0,NA,0,0,3,2,0,-2,4,0,-2,1,0
926730,1939,1,1997,2,59,-2,-3,-3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926732,1939,2,-2,5,376,3,6,0,-2,0,-2,-2,3,5,-2,-2,3,7,-2,1,2
926735,1940,1,-2,4,35,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926738,1939,2,-2,6,66,-2,-2,70,6,2,6,0,2,3,8,-2,3,6,-2,1,2
926740,1939,2,-2,9,69,-2,1,0,0,4,3,0,2,3,3,-2,NA,0,-2,1,1
926741,1939,2,1981,4,61,-2,-2,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926742,1939,2,1994,7,74,3,6,150,-2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926743,1938,1,2006,3,-3,-2,-3,-3,4,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
926745,1938,1,2022,9,74,-2,2,150,7,4,12,5,4,2,8,-2,8,12,-2,1,0
926748,1939,2,-2,4,48,-2,-2,0,-2,2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA
926749,1939,1,2019,9,49,-2,1,105,0,0,8,0,0,4,12,-2,-29,NA,NA,NA,NA
926753,1939,2,-2,7,75,3,9,120,0,6,8,0,4,1,8,-2,-29,6,-2,1,0
926754,1939,2,-2,4,72,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926755,1939,1,2006,3,-3,-2,-2,120,0,6,10,0,3,NA,NA,NA,NA,NA,NA,NA,NA
926756,1939,2,-2,4,5,-2,-2,0,0,4,12,0,1,4,11,-2,0,8,-2,1,0
926758,1939,1,-2,4,54,-2,-2,28,0,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
926761,1939,2,1986,4,77,-2,-2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926764,1939,2,-2,9,86,-2,-2,0,5,2,6,0,4,2,6,-2,2,8,4,1,0
926770,1939,1,-2,3,163,2,5,150,0,3,4,0,1,2,10,-2,0,8,-2,1,3
926772,1939,2,-2,7,63,-2,-2,0,-2,6,-2,-2,NA,8,-2,-2,NA,NA,NA,NA,NA
926776,1939,2,2003,4,38,-2,-2,15,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926785,1939,2,-2,8,73,-2,1,85,0,10,6,0,NA,1,5,-2,5,4,2,0,2
926786,1939,1,2013,6,85,-2,-2,200,0,NA,NA,NA,0,1,6,-2,1,NA,NA,NA,NA
926791,1939,1,-2,8,53,2,4,0,-2,0,-2,-2,2,0,-2,-2,2,7,-2,0,0
926795,1939,2,-2,6,36,2,4,105,6,8,8,5,5,4,8,2,10,6,-2,2,6
926799,1939,1,-2,6,38,1,3,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926800,1939,1,-2,3,90,-2,-2,170,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926802,1939,1,-2,2,25,-2,-2,140,-3,NA,12,0,2,NA,NA,NA,NA,NA,NA,NA,NA
926805,1938,1,2003,4,160,-2,1,150,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
